,A375_SKIN,A549_LUNG,HEPG2_LIVER,HT29_LARGE_INTESTINE,MCF7_BREAST,PC3_PROSTATE,YAPC_PANCREAS
CHCHD2P8,0,0,0,0,0,0,0.32
FAM237A,0.02,0,0,0,0,0,0
BSN-AS1,0,0,0,0,0,0,0
DSCAM-AS1,0.04,0,0.02,0,1236.4,0,0.12
KRT8P17,0,0.01,0,0.02,0.03,0,0.08
FABP7P2,0,0,0,0,0,0.11,0
TP73-AS2,0,0,0.15,0,0,0,0
RPL35AP22,0,0,0,0,0,0,0
PSMA5P1,0,0,0,0,0,0,0
HSP90AB6P,0,0,0,0,0,0,0
COX6CP17,0,0,0,0,0,0,0
LINC02532,0,1.69,6.67,2.7,0.8,0,0.2
RPSAP16,0.07,0,0,0.05,0.06,0.03,0
HMGB3P23,0,0,0,0,0,0,0
RCBTB2P1,0,0,0,0,0,0,0
TMEM30CP,0,0,0,0,0,0.08,0
LINC02248,0,0,0,0,0,0,0
C12orf75,59.04,250.42,18.52,102.37,42.43,174.53,19.58
CDK5P1,0.03,0.03,0,0,0,0,0
LINC01440,0,0,0,0,0.04,0,0
SMIM1,0.07,0.19,24.21,0.36,4.48,3.79,3.85
MTND1P31,0,0,0,0,0,0,0
LINC01366,1.81,0.03,0,0,0,0,0.67
HGH1,12.92,22.7,8.53,4.94,24.25,23.07,25.07
RPL39P3,95.94,0,60.82,76.67,120.56,61.43,132.95
RPL26P37,0,0,0,0,0,0,0.15
LINC00601,0.49,0.05,0,0,0,0.04,1.36
SRP14P3,0,0,0,0,0,0,0
NUCB1-AS1,0,0,0,0,0.09,0.09,0
PPP1R3E,3.25,2.6,8.47,3.42,5.11,1.79,6.42
ZNF33CP,0,0,0,0,0,0.01,0
CYP2C58P,0,0,0,0,0,0,0
LINC01702,0,0,0,0,0,0,0
LINC02578,0,0,0,0,0,0,0
LINC01525,0,0,0,0,0,0,0
TBC1D3P3,0,0,0,0,0,0,0
TATDN2P3,0.03,0,0,0,7.12,0,0
TUBBP6,0,0,0,0,0,0,1.88
TMSB10P2,0,0,0,0,0,0,0
OR6E1P,0,0,0.03,0.08,0.2,0.03,0
FAM83C-AS1,0,0,0,0,0,0,0
TSPY26P,0.13,0.13,0.11,0.19,0.61,0.8,3.85
DNAJC17P1,0,0,0,0,0,0,0
LINC00383,0.51,0,0,0,0,0,0
RPL31P17,0.5,0.65,0.89,0.63,0.78,0.33,0.9
VN1R38P,0,0,0,0,0,0,0
MRPS18BP2,0,0,0,0,0,0,0
IGKV1OR2-1,0.11,0,0,0,0,0,0
SUMO2P1,0.89,1.1,0.64,0.53,2.54,2.84,0.56
ACTRT1P1,0,0,0,0,0,0,0
DANT2,0.07,0,0,0.2,0.22,0,0
OR13C1P,0,0,0,0,0,0,0
TMEM185AP1,0.56,2.46,0.52,0.79,1.55,0.33,3.75
FKBP4P7,0,0,0,0,0.04,0,0
ITGA9-AS1,0.91,0.9,3.28,5.3,0.05,0.12,2.09
NDUFB4P6,0,0,0,0.21,0,0,0
KDM5C-IT1,0,0,0,0.05,0.03,0,0
RPL5P28,0,0,0,0,0,0,0
RPL22P17,0,0,0,0,0,0,0
KDM4E,0,0.01,0,0,0,0,0
LINC02331,0,1.58,0.7,0.23,0,0.15,0
RAMACL,0.47,0.95,0.56,0.26,0.28,0.68,1.08
KRT18P16,0.02,0.77,0.05,0.51,0.52,0.02,0.47
ZNF652P1,0,0,0,0,0,0,0
MCF2L-AS1,2.53,0,2.88,10.27,2.17,0.19,3.93
DYNLL1P3,0,0,0,0,0,0,0
SNORD62A,0,0,0,0,0,0,0
SMIM2-IT1,0,0,0,0,0,0,0
BRD7P6,0,0,0,0.02,0,0,0
HLA-W,0.04,0,0.03,0.05,0.03,0,0
RPL7AP25,0,0,0,0,0,0,0
LINC01634,0,0,0,0,0,0,0
FAUP1,1.74,0.86,1.64,1.11,2.07,3.62,7.07
MRPL53P1,0,0,0,0,0,0,0
THRA1/BTR,0,0,0,0.46,0,0,0
HLA-Z,0,0,0,0,0,0,0
LINC01281,0,0,0,0,0,0,0
GAPDHP34,0,0,0,0,0,0,0
GXYLT1P6,0,0,0,0,0,0,0
KRTAP19-10P,0,0,0,0,0,0,0
HM13-IT1,2.54,0.4,0,1.36,0.4,0.5,1.19
LINC00957,0.2,0.03,0.21,1.09,0.86,0.91,0.34
RPL23AP69,0,0,0,0,0,0,0
DUSP8P5,1.3,0.2,0.56,1.2,1.52,1.83,2.54
MTND4LP13,0,0,0.23,0,0,0,0
COTL1P2,0,0,0,0,0,0,0
SRSF3P5,0,0,0,0,0,0,0
RPL12P25,0,0,0.49,0.57,0.4,0.2,0.25
RPSAP76,0,0.03,0.06,0,0,0.03,0
PVRIG2P,0.95,0.98,0,0,0,1.29,0.36
BTG3P1,0,0,0,0,0,0,0
B3GALT1-AS1,0.17,0,0,0,0,0,0
DUSP5P2,0,0,0,0,0,0,0
GEMIN2P2,0,0.04,0,0,0.04,0,0
LINC01665,0,0,0,0,0.03,0,0
SGCEP1,0,0,0,0,0,0,0
RPS29P16,2.67,27.21,7.34,8.69,9.25,11.5,15.06
LINC01621,0,0,0,0,0,0,0
SNRPGP10,98.93,67.18,29.85,53.68,41.69,53.77,36.66
LINC01055,0,0,0,0,0,0,0
SAPCD2P2,0,0,0,0,0.02,0,0
RPL36AP15,0.91,0,0,0.51,0.29,0,0
DNM1P51,0.36,0.17,0.02,0.04,0.05,0.03,0.1
SSR4P1,0.55,0.35,1.39,0.33,0.39,0.97,1.31
RPEL1,0.07,0.23,0.07,0.14,0.14,0.09,0.18
MRPS10P1,0,0,0,0,0,0,0
RPL7P31,0,0,0,0,0,0,0
MTND4P31,0,0,0,0,0,0,0
LINC02154,0,0.1,0,0,0,0.05,0
SPAAR,0.5,0.04,0,0.12,0,0.08,0.24
EPN2-AS1,0.02,0.07,0.04,0.08,0.19,0.04,0.45
CYMP-AS1,0,0.01,0,0,0,0,0.03
SNORA71B,0,0,0,0,0,0,0
DRG1P1,0.14,0.18,0.04,0.06,0.13,0.2,0.11
TTTY4B,0,0,0,0,0,0,0
KRT18P63,0.23,0.02,0.14,0.18,0.18,0.05,0
RPSAP24,0,0.05,0,0,0,0,0
TIPINP1,0,0,0.03,0,0,0,0
RPL29P30,0.1,0.37,0,0,0,0.08,0
KATNBL1P3,0,0.03,0,0.08,0,0,0
SUMO2P10,0,0,0,0,0,0,0
RPS7P13,0,0,0,0,0,0,0
ZSWIM5P1,0,0,0,0,0,0,0
MTATP6P17,0,0,0,0,0,0,0
DPY19L2P4,0.16,0.01,0.04,0.03,0.15,0.14,0
LINC01278,13.93,8.82,4.39,10.16,9.7,10.37,18.58
ESRRAP2,0,0,0,0,0,0,0
RPS2P15,0,0,0,0,0.17,0.03,0
PSMB3P2,0,0.1,0,0,0,0,0
LINC02791,0,0,0,0,0,0,0
TRAPPC13P1,0,0,0.02,0,0,0.02,0
LURAP1L-AS1,0,0.03,0,0.05,0,0,0.29
PNPLA4P1,0,0,0,0,0,0,0
SMIM27,12.47,5.24,10.35,8.72,19.43,4.9,6.63
HAUS6P3,0.05,0.06,0.1,0.11,0,0,0
IQCF5-AS1,0,0,0,0,0,0,0
RPS26P31,0,0.12,0.21,0.46,0,0.13,0.17
TAB3P1,0,0,0,0,0,0,0
RPL10AP5,0,0,0,0,0,0,0
MRPL50P4,0,0,0,0,0,0,0
NEURL1-AS1,0,0,0,0,0,0.04,0
EIF4A1P7,0.12,0.05,0.02,0.03,0.05,0.15,0
LINC01664,0,0,0,0,0,0.03,0
RAB9AP4,0,0,0,0,0,0,0
UBE2R2-AS1,0.16,0,0.04,0.07,0.04,0.04,0
RPL21P135,0,0,0,0,0,0,0
GYG2-AS1,0,0,0,0,0,0,0
ANAPC1P6,0.02,0.06,0,0,0,0,0.17
JARID2-AS1,0.22,0,0.17,0,0.16,0,0
DBF4P1,0.1,0.12,0.06,0.11,0.11,0.09,0.13
LINC01889,0,0,0,0,0.08,0,0
LINC01221,0,0,0,0,0,0,0
LINC01967,0.5,0,0,0,0,0,0.38
SNX19P2,0.01,0,0,0,0,0,0
CNN3-DT,0.44,1.3,9.61,0.04,0.02,0.1,1.85
CASP4LP,0,0,0,0,0,0.44,0.19
RPS2P7,0.57,0.19,0.61,0.39,0.53,0.22,0.57
OFD1P18Y,0,0,0,0,0,0,0
TAB3-AS2,0,0,0,0,0,0,0
L3MBTL2-AS1,0.18,0.08,0.07,0.03,0.11,0.12,0.72
LLPHP2,0.15,0,0,0,0,0.1,0
LINC01815,0,0,0,0,0,0,0
USP9YP27,0,0,0,0,0,0,0
MTCO1P23,0,0,0,0,0,0,0
FTLP1,0,0,0,0,0,0,0
HIPK1-AS1,0.5,0.02,0.01,0.18,0.81,0.27,0
AGAP1-IT1,0.21,0.04,1.02,4.02,0.71,0.71,1.76
MSC-AS1,3.85,3.6,0,0,0,0.05,0.11
LINC00402,0.06,0,0,0.01,0,0,0
FECHP1,0,0,0,0,0,0,0
TRDN-AS1,0,0,0,0,0,0,0
MTND1P33,0,0,0,0,0,0,0
RPS11P1,0,0,0,0,0,0,0
NDUFB11P1,0,0,0,0,0,0,0
HEBP2P1,0,0.03,0,0,0,0.03,0
EIF1P2,0,0,0,0,0,0,0
ANKRD26P2,0,0,0,0,0,0,0
RPL6P27,39.19,50.14,18.59,25.26,24.85,20.3,31.32
SRSF6P2,0.6,0.63,0.33,0.63,1,0.31,0.72
SUMO1P4,0,0,0,0,0,0,0
GUSBP17,0,0,0,0,0,0,0
NOP56P1,0,0,0.13,0.2,0,0,0
NFAM1,0.01,0.01,0,0.01,0.01,0,0.73
LINC00533,0,0.06,0,0,0,0.06,0.64
SNX18P14,0.07,0,0,0,0,0,0
LINC01871,0,0,0,0,0,0,0
RPL38P5,0,0,0,0,0,0,0
GAPDHP65,3.05,3.59,0.91,1.27,1.35,1.42,1.78
GNAS-AS1,3.54,0,0.06,0,1.12,0.04,0.04
RBMS3-AS1,0,0,0,0,0,0,0
GAPDHP23,0.03,0,0,0,0,0,0
LINC01102,0,0,0,0,0,0,0
RRM2P4,0,0,0,0,0,0,0
BARX1-DT,0.03,0.03,0,0,0,0,0.03
POU5F1P3,0.13,0.04,0.17,0.07,0.2,0.05,0
AK4P6,0,0,0,0,0,0,0
NKX1-1,0,0,0,0,0,0,0
NSRP1P1,0.06,0.01,0.01,0.02,0.05,0.01,0
ST13P2,0,0,0.02,0,0,0,0
FAM21EP,0.07,0,0.09,0.19,0.4,0.26,0
RPL36AP33,0,0,0,0,0,0,0
LINC00494,0.01,0,0.42,0,1.14,0.02,4.78
OR7E110P,0,0,0,0,0,0,0
KRT18P66,0.02,0,0,0,0,0.02,0
SNRPFP4,1.25,0,0,0.69,0.38,0.34,0
TNR-IT1,0,0,0,0,0,0,0
RNF148,0,0,0.05,0,0.14,0.19,0
NUS1P1,2.72,1.23,5.83,4.46,2.38,1.79,1.91
MTND6P14,0,0,0,0,0,0,0
ELOAP1,0,0,0,0,0,0,0
PTP4A1P5,0,0,0,0,0,0,0
LINC01647,0.06,0.02,0,0.03,0.05,0,0
RPL10P5,0,0,0,0,0,0,0
LINC02651,0,0,0,0,0,0,0
MTND1P2,0,0,0,0,0,0,0
MTFR2P2,0,0,0,0,0,0,0
MXRA5Y,0,0,0,0,0,0,0.02
G3BP1P1,0.28,0.26,0.14,0.46,0.37,0.06,0.37
FBXO30-DT,0.53,0.74,0.37,0.82,0.63,0.34,2.34
H3P6,191.19,197.97,75.39,266.25,208.34,107.22,312.81
RPL36P18,0,0,0,0,0,0,0
LINC00345,0,0,0,0,0,0,0
MIR670HG,0,0,0,0,0,0,0
SAPCD1-AS1,0.62,0.69,0.6,0.37,0,0.79,0
LINC00298,0,0,0,0,0,0,0
CHN2-AS1,0.08,0,0.19,0.05,0,0,0.06
RPL21P40,0,0,0,0,0.35,0.07,0
LDHAP2,0.34,0.2,0.16,0.14,0.07,0.27,0.09
NPM1P26,0.35,0.25,0.11,0.27,0.44,0.18,1.7
OR5AN2P,0,0,0,0,0,0,0
PPIAP20,0,0,0,0,0,0,0
LINC00993,0.05,2.89,0,0,0,0,0
SNTG2-AS1,0,0,0,0,0.29,0,0
CUBNP3,0,0,0,0,0,0,0
HIGD2AP2,0,0.35,0,0,0.19,0,0
PA2G4P2,0.72,0.49,0.16,0.23,0.25,0.21,0.31
CXorf51B,0,0,0,0,0,0,0
CYCSP52,0.29,0.34,0,0,0,0,0
PCBP2P1,0.14,0.05,0.02,0.11,0.18,0.07,0.27
LINC00894,2.29,1.63,0.55,9.99,5.15,1.34,4.95
DICER1-AS1,1.46,1.75,2.47,0.97,8.6,2.67,8.32
TRIM67-AS1,0,0,0,0,0,0,0
ANKRD34C,0,0,0,0,0,0,0
KRT18P46,0.02,0,0,0,0.03,0.02,0
DPP10-AS2,0,0,0,0,0,0,0
MFRP,0,0,0,0,0,0,0
GABPAP,0.23,0.17,0.08,0.12,0.13,0.12,0.13
OR2AF1P,0,0,0,0,0.08,0,0
LINC02250,0,0,0,0.01,0,0,0
HMGN1P36,0,0.4,0,0.36,0.42,0.44,0
RPL7AP72,0,0,0,0,0,0,0
TRIM60P19,0,0,0,0,0,0,0
PHACTR2-AS1,0,0,0,0.02,0.02,0.01,0
LINC02784,0,0,0,0,0,0,0
CTBP2P2,0,0,0,0,0,0,0
SEPTIN14P12,0.85,0.18,0.23,0.35,0.37,0.16,0
KIAA0040,20.2,0.38,0.38,5.42,12.27,5.51,7.55
ARHGAP42P3,0,0,0.01,0,0,0,0
MSH2-OT1,0,0,0,0,0,0,0
MTCO3P46,0,0,0,0,0,0,0
SNRPGP5,0,0,0,0,0.53,0,0
BRD7P5,0,0.02,0,0,0,0,0
LINC00607,0,0.04,0.52,0,0.11,0.01,0.67
DPYD-AS2,0,0.03,0.03,0,0,0,0.3
USP17L27,0,0,0,0,0,0,0
LINC02569,0.21,0.08,0.23,0.36,0.33,0.18,0.32
HNRNPA1P29,0.17,0,0,0,0,0.03,0
ZNRF3-IT1,0,0.04,0,0.19,0.04,0,0
RPL35AP8,0,0,0,0,0,0,0
PEF1-AS1,0.11,0,0.08,0.13,0,0,0.19
MTND3P21,0,0,0,0,0,0,0
HCFC1-AS1,0.41,0,0,0,0.14,0,0
MTCO2P23,0,0,0,0,0,0,0
SOCS5P3,0,0,0,0,0,0,0
MYL6P2,0,0,0,0,0,0,0
ADAM21P1,0,0,0.01,0,0.02,0.16,0
PRELID1P3,0,0,0.04,0.07,0.04,0.04,0
VN1R17P,0,0,0,0,0,0,0
IFITM4P,0.13,0,0,0,0.27,0.18,0
OLMALINC,8.66,1.78,2.75,11.75,6.35,4.15,25.72
LINC00837,0,0,0,0,0,0,0
TUBB8P9,0,0,0,0,0,0.02,0
RPL36AP26,0,0,0,0,0.35,0,0
TBCAP2,0,0,0,0,0,0,0
SRGAP3-AS4,0,0,0,0,0.23,0,0
BHLHE40-AS1,0.02,0.4,0.03,0.11,0.37,0.35,0.88
CNN2P3,0,0,0,0,0,0,0
KIF3AP1,0,0,0,0,0,0,1.65
HSP90AB7P,0.06,0,0,0,0,0,0
LDHAP7,0.13,0.54,0.43,0.11,0.05,0.25,0.09
RMDN2-AS1,0.03,0,0,0.04,0.03,0,0
HS6ST2-AS1,0,0,0,0,0,0,0
OR7E145P,0,0,0,0,0,0,0
CTBP2P1,2.4,0,0,0,0,0,0
B3GALT4,0.99,0.26,0.1,2.8,7.22,2.43,5
HSPA8P6,0,0,0,0,0,0,0
GSN-AS1,1.19,0.04,0.02,0.16,0.1,0.04,0.52
GAPDHP31,0,0,0,0,0,0,0
ARHGEF7-AS2,0.02,0,0,0,0,0,0
FEM1AP4,0,0,0,0,0,0,0
FAR1P1,0.03,0.05,0,0,0,0,0
LINC00941,13.72,7.45,0.73,8.38,0.05,6.51,12.52
LINC01828,0,0,0,0,0,0,0
LINC02799,0,0,0,0,0,0,0
TSPEAR-AS1,0.73,0.29,2.07,0.02,0,0.05,0.09
PKMP2,0.01,0,0,0,0,0,0
TM4SF19-AS1,1.76,1.05,0.12,0.35,1.25,0.8,0.57
LINC01564,0,0.4,0.33,0.09,0,0.11,0
CPB2-AS1,0.36,0.09,0.37,0.01,0.44,0.05,0
RBMS3-AS3,1.67,0.15,0,0,0,0.47,0
RHOA-IT1,0.58,0.28,0.2,0.6,0.49,0.06,0
APOA1-AS,0.07,0.06,0,0.26,0,0.05,1.68
MACROD2-AS1,0.05,0,0,0,0,0,0
MRPS18CP7,0.26,0.23,0.2,0.3,0.18,0.27,0.17
MTCO2P11,0.05,0,0,0,0.23,0,0
ASH1L-AS1,8.06,2.44,3.6,6.94,3.66,1.97,3.02
THRAP3P3,0,0.28,0,0,0,0.02,0.04
ZNRF2P3,0,0,0,0,0.12,0,0
RPS29P15,0,0,0,0,0,0,0
NEXN-AS1,0.17,0.17,0.12,0.08,0.05,0.46,0.02
TPT1P14,0,0,0,0,0,0,0
HSPE1P12,0,0,0,0,0,0,0
LINC01553,0,0,0,0.02,0,0,0
LINC01779,0,0,0.13,0,0,0.03,0
RPL21P30,0,0,0,0,0,0,0
MTND1P21,0,0,0,0,0,0,0
LCE6A,0,0,0,0,0,0,0
TMEM212-IT1,0,0,0,0,0,0,0
ZNF815P,4.44,0.65,0.97,1.32,2.21,2.45,0.39
H2BW3P,0.51,0.13,0,0,0.23,1.83,1.84
EGOT,0,0.32,0,0,0.05,0.02,0.03
TTC28-AS1,7.59,10.86,11.48,15.49,8.44,6.99,13.38
CICP20,0,0.01,0,0,0.01,0.01,0
COX7CP1,6.13,4.16,3.87,5.03,7.21,15.06,16.99
UBOX5-AS1,0.01,0.03,0.01,0.15,0,0.02,0
PNMA6A,0.06,1.27,0.67,0,0,0.03,0.18
RPL7AP53,0.08,0.09,0.03,0,0.03,0.02,0.12
MCCD1P1,0,0,0,0,0,0,0
FXYD6P2,0.36,0,0,0,0,0,0
COX5BP3,0,0,0,0,0,0,0
FBXL12P1,0,0,0,0,0,0,0
CHEK2P4,0,0,0,0,0,0,0
VN2R19P,0.05,0,0.02,0,0,0.02,0
TPM2P1,0,0,0,0,0,0,0
H2BP8,0,0,0,0,0,0,0
GPC5-AS1,0,0,0,0,0,0,0
MORC2-AS1,0.06,0.02,0.16,0.06,0.04,0.09,0.18
RPL23AP20,0.39,0.12,0.1,0,0.18,0.18,0
GRAMD4P2,0.03,0,0,0,0,0,0
UBE2V1P6,0,0,0,0,0.09,0,0
LINC01936,0,0.02,0,0,0,0,0
TAAR7P,0,0,0,0,0,0,0
MTCO1P46,0,0,0,0,0,0,0
LINC01814,0,0,0.02,2.16,0.01,0.02,1.13
HIGD1AP12,0,0,0,0,0,0,0
ASMTL-AS1,3.95,2.34,2.01,5.46,6.92,2.55,14.77
PRRX2-AS1,0,0,0,0,0,0,0
PATE3,0,0,0,0,0,0,0
OR5H14,0,0,0,0,0,0,0
NSA2P1,0.16,0.03,0.03,0,0,0.03,0.06
LINC00445,0,0,0,0,0,0,0
LINC02889,0,0,0,0.18,0.2,0.52,0
CHIAP1,0,0,0,0,0,0,0
COX6CP18,0,0,0,0,0,0,0
FABP5P2,0.14,0,0,0.09,0.1,0,0
RPL13AP12,0,0.11,0,0.16,0.34,0.05,0
SSBL5P,0.02,0.05,0.05,0.11,0.05,0.1,0.17
LINC01920,0,0,0,0,0,0.01,0
MYCBP2-AS1,0,0,0,0,0.06,0.19,0
LINC01643,0,0,0,0,0,0,0
LINC01067,0,0,0,0,0,0,0
SYN3-AS1,0,0,0.08,0,2.54,0,0
GAPDHP14,4.68,0,0,0,0,0,0.05
RPL17P36,0.66,1.15,0.32,1.06,0.45,0.17,1.11
HSPB1P1,0,0,0.36,0,0.36,0.61,0
GSTM5P1,0,0,0,0,0,0,0
NT5ELP,0,0,0,0,0,0,0
SRSF2P1,0,0,0,0,0,0,0
LINC01072,0,0,0,0,0,0,0
SLC6A14P1,0,0,0,0,0,0,0
LINC01447,0.32,0.26,0.09,0,0,0,0.07
YAP1P2,0,0,0,0,0,0,0
ELFN1-AS1,6.85,0,1,25.15,0.04,5.23,2.44
OR13E1P,0.03,0,0,0.08,0.02,0.03,0
ACTG1P4,0.02,0,0,0.02,0,0,0
HMGN2P28,0,0,0.66,1.07,0.3,0,0
COX10-AS1,11.75,5.71,3.13,4.33,7.97,2.04,6.32
LDHAP3,0.14,0.22,0.16,0.18,0.06,0.12,0.04
LINC02243,0,0,0,0,0,0,0
LINC00545,0,0,0,0,0,0,0
BNIP3P2,0,0,0.05,0,0,0,0
RAC1P7,0,0,0,0,0,0.11,0
ZBTB22,6.65,1.51,5.5,10.33,9.75,5.64,10.39
PRELID3BP10,0.07,0.05,0,0,0.05,0,0.19
SCN1A-AS1,0,0.05,0.26,0.01,0,0.07,0
OR2AM1P,0,0,0,0,0,0,0
LINC01639,0,0,0.02,0,0.14,0,0
HAUS6P2,0,0,0,0,0,0,0
CEACAMP11,0,0,0,0,0,0,0
HMGN2P23,0,0,0,0,0,0,0
USP17L4,0,0,0,0,0,0,0
CT47A3,0,0,0,0,0,0,0
PTCSC2,0,0,0,0,0,0,0
MED13P1,0,0,0,0,0,0,0
LINC01069,0.07,0,0,0,0,0,0
ADORA2BP1,0,0,0,0,0,0,0
DUX4L26,0.28,0,0.02,0,0.11,0.11,0
TMEM147-AS1,19.04,8.4,4.73,10.83,5.58,2.01,10.48
RPL23AP37,0.07,0.09,0.06,0.12,0,0.07,0
MRPS36P1,1.18,1.06,0.21,1,0.38,0.89,1.7
ZPLD2P,0,0,1.05,0.06,0,0.02,0.47
CHCHD4P3,0.4,0.61,0.4,0,0.18,0.05,0
RFC3P1,0,0,0,0,0,0,0
PRADC1P1,0.08,0,0.57,0,0.24,0.18,0
GAPDHP57,0,0,0,0,0,0,0
IGHD1-1,0,0,0,0,0,0,0
RPL12P26,0,0,0,0,0,0,0
MIR7515HG,0,0,0,0.07,0,0,0
SSU72P6,0,0,0,0,0,0,0
LINC00353,0,0,0,0,0,0,0
PRAMEF35P,0,0,0,0,0,0,0
TCEA1P4,0.95,0.46,0.15,0.67,0.75,0.27,0.65
HNRNPDLP3,0,0,0,0,0,0,0
GJA6P,0,0,0,0.03,0,0,0
PRKX-AS1,0,0,0,0,0,0,0.34
RPL18AP15,0,0,0,0,0,0,0
RPS15AP25,0,0,0,0,0,0,0
LINC01953,0,0,0,0,0,0,0
RNMTL1P2,0,0,0,0,0,0,0
PPP1R9A-AS1,0.01,0.01,0.01,0,0,0,0
KDM4A-AS1,3.92,3.55,1.97,2.82,3.2,4.06,0.11
GRM7-AS1,0,0,0,0,0,0,0
LINC01376,0.14,0.35,0.08,0.5,0.82,0.19,1.36
C10orf71-AS1,0,0,0,0,0,0,0
MTCO1P7,0,0,0,0,0,0,0
PPP1R11P1,0,0.2,0,0,0.13,0,0
C1DP2,0,0,0,0,0,0,0
VEZF1P1,0.02,0.03,0.01,0.02,0.06,0.01,0.03
MTCYBP24,0,0,0.02,0,0,0,0
GPC5-IT1,0,0,0,0,0,0,0
MYO16-AS1,0,0,0,0,0.05,0.05,0
RPL6P29,0,0,0,0,0,0,0
SLC35F3-AS1,0,0,0,0,0,0,0
SLC25A3P1,0,0,0,0.09,0,0,0
MTND4P14,0,0,0,0.02,0.07,0.02,0
DIAPH2-AS1,0.36,0,0.17,0.45,0,0.34,6.15
EI24P2,0.85,0.1,0.55,1.25,0.6,1,0.16
TIMM8BP1,0,0,0,0,0,0,0
PPIAP64,0,0,0,0,0.07,0,0
SHANK2-AS2,0,0,0,0,0,0,0
RPL26P30,2.02,1.47,0.63,0.64,1.61,1.31,0.8
LINC01361,0,0,0,0,0,0.07,0
SCUBE1-AS2,0,0,0,0,0,0,0
NDP-AS1,0,0,0,0,0,0,0
NIPA2P5,0,0,0,0,0,0,0
PEBP1P3,0,0,0,0,0,0,0
CLEC2L,0,0,0.11,0,0,0,0
NDUFB9P2,0.09,0.07,0.07,0.21,0.13,0.39,0
VN1R31P,0,0,0,0,0,0,0
NPM1P8,0.07,0,0,0,0.03,0.03,0.05
ZBED5,19.8,38.14,10.35,34.47,14.76,21.78,43.32
GACAT3,0.05,0,0.3,0,0,0,0.04
EEF1GP7,0,0,0,0,0,0,0
USH2A-AS1,0,0,0,0,0,0,0
GUSBP5,0.07,0.15,1.68,0.14,1.46,0.69,0.94
MTND4LP12,0,0,0,0,0,0,0
MRGPRG-AS1,0,0,0,0,0,0,0
LINC02646,0,0,0,0,0,0,0
SLC12A9-AS1,1.07,0.18,0.13,2.07,3.03,0.23,0
LINC01241,0,0,0,0,0,0,0
EEF1E1P1,0,0.33,0.28,0.15,0.17,0.35,2.08
TLX1NB,0,0.02,0,0,0.03,0,0
RPL34P34,0.8,0,0.73,0.23,0.34,0.26,0.96
VN1R53P,0,0.17,0,0,0,0,0
OR7E109P,0,0,0,0,0,0,0
LINC02888,0,0,0,0.05,0,0,0
SLFN14,0,0.01,0.01,0.01,0.01,0,0.05
BMP6P1,0,0,0,0,0,0,0
SNX9-AS1,0,0,0,0,0,0,0.86
RPL32P5,0,0,0,0,0,0,0
RPL5P9,0.2,0.29,0.15,0.38,0,0.17,0.13
TRHDE-AS1,5.38,0.03,0,0,0.01,4.12,1.55
PPIAL4G,0,0.11,0.04,0,0,0,0.06
CDYL-AS1,0,0,0,0,0,0,0
FMR1-IT1,0.86,0.23,0.48,0.25,0.14,0.14,3.63
POM121L13P,0,0,0,0,0,0,0
GRM8-AS1,0,0,0,0,0,0,0
EI24P4,0,0,0,0,0,0,0
SCAT8,22.69,0.09,0.01,1.97,0.1,1.97,0
PSMC1P10,0,0,0,0.02,0.05,0,0
SUCLG2P2,0.61,0.39,0.25,0.28,0.44,0.17,0.28
LINC00437,0,0,0,0,0.03,0,0
EI24P1,0,0,0,0,0,0,0
OR51B8P,0.2,0,0,0,0,0,0
RRAS2P1,0.15,1.69,0.42,0.18,1.28,0.38,0.45
GAGE12F,0,0,0,0,0,0,0
EIF3MP1,0,0,0,0,0,0,0
CT47A1,0,0,0,0,0,0,0
LINC02653,0,0,0,0,0,0,0
POU5F1P5,0,0,0,0.13,0.08,0.13,0
ZNF736P4Y,0,0,0,0,0,0,0
VENTXP7,0,0,0,0,0,0,0
KRTAP10-13P,0,0,0.05,0,0,0.16,0
CCDC200,0.82,0.16,2.4,0.3,0.58,0.15,1.03
LINC00479,0.31,0.01,0.42,0.12,0.09,0.05,0.68
ITCH-AS1,0,0,0,0,0,0,0
SLC35G4,0,0,0,0,0,0,0
DDX11L2,0.9,2.19,0.29,6.68,1.5,2.42,0.47
TAS2R39,0.05,0,0,0,0.02,0,0
KRTAP21-4P,0,0,0,0,0,0,0
SLC4A1APP2,0,0,0,0,0,0,0
VLDLR-AS1,0.06,1.36,0.07,0.11,1.4,0.12,0
UBQLN1P1,0,0,0,0,0,0,0
HMGB1P18,0,0,0,0,0,0,0
NRADDP,0,0,0.12,0.06,0.07,0.04,0
NDUFAF4P3,0,0,0.06,0,0,0,1.11
CTSLP1,0,0,0,0,0,0,0
CHCHD3P1,0,0,0,0,0,0,0
LINC01134,0.38,0.2,0.97,0.59,0.09,0.8,0.65
TSPY10,0,0,0,0,0,0.02,0.09
GPM6BP2,0,0,0,0,0,0,0
KRT8P29,0.02,0,0,0.05,0.03,0.03,0
MFF-DT,0.16,0.62,1.56,0.12,0.46,0.58,0.57
RPL37P21,0,0,0,0,0,0,0
TSPY12P,0,0,0,0,0,0,0
LINC02850,0,0,0,0,0,0,0
LINC02151,0,0,0,0,0,0,0
FAM157A,0.92,0.32,0.55,4.13,2.09,0.42,6.23
COPRSP1,0.08,0,0,0,0,0,0
ANKRD54P1,0,0,0,0,0,0,0
UBE2L5,0.52,0.4,0.4,0.37,0.2,0.46,0.41
LINC00608,0,0,0,0,0,0,0
